scorer,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon
individuals,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0
angs,Time,Right ankle,Left ankle,Right knee,Left knee,Right hip,Left hip,Right shoulder,Left shoulder,Right elbow,Left elbow,Right foot,Left foot,Right shank,Left shank,Right thigh,Left thigh,Trunk,Right arm,Left arm,Right forearm,Left forearm
coords,seconds,dorsiflexion,dorsiflexion,flexion,flexion,flexion,flexion,flexion,flexion,flexion,flexion,horizontal,horizontal,horizontal,horizontal,horizontal,horizontal,horizontal,horizontal,horizontal,horizontal,horizontal
0,0.0,4.15528407207205,4.160964972782594,4.167653600236008,2.5679758764737244,-7.499681132772309,-8.464976907216197,169.37298243580682,175.75787631397625,15.761550539709333,8.351357283808966,-4.581599785833546,-4.784605139455175,-98.73688385790561,-98.94557011223777,-94.56923025766959,-96.3775942357641,87.9126173285479,82.30343331090953,87.84525898542836,98.06498385061889,96.19661626923734
1,0.0333333333333333,0.11569939549563912,0.8246942260757635,3.6708010061785785,1.7160007783131732,-7.216796100535078,-8.97345958307767,168.966136348094,174.3234120045134,16.679423425946993,10.306205798759208,-7.923153889465945,-7.257587519724265,-98.03885328496158,-98.08228174580003,-94.36805227878303,-96.36628096748686,87.39282138440919,81.81488016984605,86.9305906201042,98.49430359579307,97.2367964188634
2,0.0666666666666666,-6.555521802270832,-5.7780939321318385,3.786385521131308,0.7729052028688557,-6.1331383092795875,-8.990045488884618,168.7073393572068,173.23311814892455,19.069640883377076,12.867108418891007,-13.861948695242468,-12.708496562718395,-97.30642689297164,-96.93040263058656,-93.52004137184035,-96.15749742771767,87.16745193883307,81.32043629464603,86.06566621009145,100.3900771780231,98.93277462898249
3,0.1,-14.472654222405765,-14.45860078329008,4.1027186876457336,0.7418616643353744,-4.679246788912053,-8.366222816536236,169.99254887952077,173.43887354326117,19.45880182609767,14.723070560637268,-21.00904126407904,-20.660080484684865,-96.53638704167328,-96.2014797013948,-92.43366835402759,-95.45961803705944,87.09339522052325,82.2381273144052,86.34547832273792,101.69692914050286,101.06854888337517
4,0.1333333333333333,-15.96048014724444,-15.424952786543912,4.4462153879906054,1.0379366662064058,-3.996111293601075,-8.180329104073053,169.81990502162245,172.96986588392681,19.817881974604234,15.736905088484605,-22.21057924195047,-21.552413682547797,-96.25009909470604,-96.12746089600388,-91.80388370671545,-95.08952422979746,86.90919512572442,82.01213260850808,86.06067075820238,101.83001458311234,101.797575846687
5,0.1666666666666666,-20.640431898154375,-20.396386438911435,3.696591557460465,0.8677583746676873,-3.5039492054977757,-7.006016207612902,169.63468229974964,173.33345035970476,21.07157724490662,15.46072734477167,-25.663871398097083,-25.378067884908088,-95.02343949994271,-94.98168144599666,-91.32684794248222,-94.11392307132898,87.10790686371608,81.81178356276519,86.22554349598867,102.88336080767175,101.68627084076036
6,0.2,-27.72273399668586,-28.128970249446837,2.5450258514329107,-0.1687939209250544,-3.4809080281828244,-6.6794135022566365,169.6414745156921,173.50540366102425,20.918111427762142,14.83427670182715,-31.33314975795275,-31.642697728035596,-93.61041576126689,-93.51372747858876,-91.06538990983401,-93.68252139951382,87.0031078972572,82.05699263404091,86.50229576376708,102.97510406180308,101.33657246559424
7,0.2333333333333333,-40.028334927892814,-45.63476562510468,1.5084492812840153,-1.491214234236736,-1.7607820675707444,-4.400774840745015,170.2943226885545,174.20150391151756,19.71122124583644,14.126796900631007,-41.28050848743861,-46.10372892490706,-91.2521735595458,-90.46896329980237,-89.74372427826181,-91.96017753403909,87.55940269329409,82.31138047786342,86.64210121822347,102.02260172369986,100.76889811885444
8,0.2666666666666666,-43.94817118835692,-49.93887278471695,1.3068400047636146,-2.1918478757022513,-0.6148635542554075,-3.865249283855462,170.71060921585234,173.96429034634528,19.738481249875804,14.484147074328689,-44.16388794196909,-49.25876941074201,-90.2157167536122,-89.31989662602508,-88.90887674884857,-91.5117445017273,87.64649521787186,82.41659602125914,86.3177951284734,102.1550772711349,100.80194220280207
9,0.3,-42.0433229308652,-48.781436725304474,1.2186532983890856,-2.130285443690184,0.30606965360473737,-3.3556418256080747,172.667615386807,174.04365512310085,17.607435861661315,14.796015331920557,-41.58065233827961,-47.762929655544404,-89.53732940741442,-88.98149293023991,-88.31867610902536,-91.1117783739301,87.75613654832202,84.04286962417689,86.28751857477883,101.65030548583819,101.08353390669943
10,0.3333333333333333,-39.34713776456218,-46.09302306291633,1.366713743651303,-2.191161793939955,0.43038064697702794,-3.621399165171681,173.0334158446814,173.99166975621793,16.504359337361166,14.058007557920348,-38.838098184315776,-45.105867104648986,-89.49096041975359,-89.01284404173266,-88.12424667610233,-91.20400583567263,87.58260667050097,84.47878852160203,86.40906308571697,100.98314785896318,100.46707064363733
11,0.3666666666666666,-34.076671904304476,-41.518097898334815,2.1782078592350445,-1.5999323238200418,0.512457049387109,-3.6462428677163246,173.5746203921951,173.8482657441684,15.93411218414451,14.168575207751473,-34.182327337986365,-41.021774036795314,-90.10565543368187,-89.50367613846049,-87.92744757444689,-91.10360846228058,87.45736559456424,85.1347157683611,86.39090014960418,101.06882795250557,100.55947535735567
